X--Trace 1::[A + B],Y--Trace 1::[A + B]
0,0
1e-011,0.05
1.63387e-011,0.0816933
2.9016e-011,0.14508
5.43706e-011,0.271853
9.9663e-011,0.498315
1.90248e-010,0.951239
3.71417e-010,1.85709
7.33757e-010,3.66878
1e-009,5
1.07247e-009,5
1.2174e-009,5
1.50728e-009,5
2.08702e-009,5
3.2465e-009,5
5.56548e-009,5
1.02034e-008,5
1.1e-008,5
1.11e-008,4.5
1.13e-008,3.5
1.17e-008,1.5
1.2e-008,0
1.208e-008,0
1.224e-008,0
1.256e-008,0
1.32e-008,0
1.448e-008,0
1.704e-008,0
2.216e-008,0
3.24e-008,0
5.288e-008,0
9.288e-008,0
1.3288e-007,0
1.7288e-007,0
2.1288e-007,0
2.5288e-007,0
2.9288e-007,0
3.3288e-007,0
3.7288e-007,0
4.1288e-007,0
4.5288e-007,0
4.9288e-007,0
5.3288e-007,0
5.7288e-007,0
6.1288e-007,0
6.5288e-007,0
6.9288e-007,0
7.3288e-007,0
7.7288e-007,0
8.1288e-007,0
8.5288e-007,0
8.9288e-007,0
9.3288e-007,0
9.7288e-007,0
1e-006,0
1.0001e-006,0.5
1.0003e-006,1.5
1.0007e-006,3.5
1.001e-006,5
1.00105e-006,5
1.00115e-006,5
1.00136e-006,5
1.00177e-006,5
1.00259e-006,5
1.00423e-006,5
1.00752e-006,5
1.011e-006,5
1.0111e-006,4.5
1.0113e-006,3.5
1.0117e-006,1.5
1.012e-006,0
1.01208e-006,0
1.01224e-006,0
1.01256e-006,0
1.0132e-006,0
1.01448e-006,0
1.01704e-006,0
1.02216e-006,0
1.0324e-006,0
1.05288e-006,0
1.09288e-006,0
1.13288e-006,0
1.17288e-006,0
1.21288e-006,0
1.25288e-006,0
1.29288e-006,0
1.33288e-006,0
1.37288e-006,0
1.41288e-006,0
1.45288e-006,0
1.49288e-006,0
1.53288e-006,0
1.57288e-006,0
1.61288e-006,0
1.65288e-006,0
1.69288e-006,0
1.73288e-006,0
1.77288e-006,0
1.81288e-006,0
1.85288e-006,0
1.89288e-006,0
1.93288e-006,0
1.97288e-006,0
2e-006,0
2.0001e-006,0.5
2.0003e-006,1.5
2.0007e-006,3.5
2.001e-006,5
2.00105e-006,5
2.00115e-006,5
2.00136e-006,5
2.00177e-006,5
2.00259e-006,5
2.00423e-006,5
2.00752e-006,5
2.011e-006,5
2.0111e-006,4.5
2.0113e-006,3.5
2.0117e-006,1.5
2.012e-006,0
2.01208e-006,0
2.01224e-006,0
2.01256e-006,0
2.0132e-006,0
2.01448e-006,0
2.01704e-006,0
2.02216e-006,0
2.0324e-006,0
2.05288e-006,0
2.09288e-006,0
2.13288e-006,0
2.17288e-006,0
2.21288e-006,0
2.25288e-006,0
2.29288e-006,0
2.33288e-006,0
2.37288e-006,0
2.41288e-006,0
2.45288e-006,0
2.49288e-006,0
2.53288e-006,0
2.57288e-006,0
2.61288e-006,0
2.65288e-006,0
2.69288e-006,0
2.73288e-006,0
2.77288e-006,0
2.81288e-006,0
2.85288e-006,0
2.89288e-006,0
2.93288e-006,0
2.97288e-006,0
3e-006,0
3.0001e-006,0.5
3.0003e-006,1.5
3.0007e-006,3.5
3.001e-006,5
3.00105e-006,5
3.00116e-006,5
3.00137e-006,5
3.00178e-006,5
3.00262e-006,5
3.00429e-006,5
3.00762e-006,5
3.011e-006,5
3.0111e-006,4.5
3.0113e-006,3.5
3.0117e-006,1.5
3.012e-006,0
3.01208e-006,0
3.01224e-006,0
3.01256e-006,0
3.0132e-006,0
3.01448e-006,0
3.01704e-006,0
3.02216e-006,0
3.0324e-006,0
3.05288e-006,0
3.09288e-006,0
3.13288e-006,0
3.17288e-006,0
3.21288e-006,0
3.25288e-006,0
3.29288e-006,0
3.33288e-006,0
3.37288e-006,0
3.41288e-006,0
3.45288e-006,0
3.49288e-006,0
3.53288e-006,0
3.57288e-006,0
3.61288e-006,0
3.65288e-006,0
3.69288e-006,0
3.73288e-006,0
3.77288e-006,0
3.81288e-006,0
3.85288e-006,0
3.89288e-006,0
3.93288e-006,0
3.97288e-006,0
4e-006,0
4.0001e-006,0.5
4.0003e-006,1.5
4.0007e-006,3.5
4.001e-006,5
4.00105e-006,5
4.00116e-006,5
4.00137e-006,5
4.00179e-006,5
4.00263e-006,5
4.00431e-006,5
4.00767e-006,5
4.011e-006,5
4.0111e-006,4.5
4.0113e-006,3.5
4.0117e-006,1.5
4.012e-006,0
4.01208e-006,0
4.01224e-006,0
4.01256e-006,0
4.0132e-006,0
4.01448e-006,0
4.01704e-006,0
4.02216e-006,0
4.0324e-006,0
4.05288e-006,0
4.09288e-006,0
4.13288e-006,0
4.17288e-006,0
4.21288e-006,0
4.25288e-006,0
4.29288e-006,0
4.33288e-006,0
4.37288e-006,0
4.41288e-006,0
4.45288e-006,0
4.49288e-006,0
4.53288e-006,0
4.57288e-006,0
4.61288e-006,0
4.65288e-006,0
4.69288e-006,0
4.73288e-006,0
4.77288e-006,0
4.81288e-006,0
4.85288e-006,0
4.89288e-006,0
4.93288e-006,0
4.97288e-006,0
5e-006,0
5.0001e-006,0.5
5.0003e-006,1.5
5.0007e-006,3.5
5.001e-006,5
5.00105e-006,5
5.00116e-006,5
5.00137e-006,5
5.00179e-006,5
5.00263e-006,5
5.00432e-006,5
5.00769e-006,5
5.011e-006,5
5.0111e-006,4.5
5.0113e-006,3.5
5.0117e-006,1.5
5.012e-006,0
5.01208e-006,0
5.01224e-006,0
5.01256e-006,0
5.0132e-006,0
5.01448e-006,0
5.01704e-006,0
5.02216e-006,0
5.0324e-006,0
5.05288e-006,0
5.09288e-006,0
5.13288e-006,0
5.17288e-006,0
5.21288e-006,0
5.25288e-006,0
5.29288e-006,0
5.33288e-006,0
5.37288e-006,0
5.41288e-006,0
5.45288e-006,0
5.49288e-006,0
5.53288e-006,0
5.57288e-006,0
5.61288e-006,0
5.65288e-006,0
5.69288e-006,0
5.73288e-006,0
5.77288e-006,0
5.81288e-006,0
5.85288e-006,0
5.89288e-006,0
5.93288e-006,0
5.97288e-006,0
6e-006,0
6.0001e-006,0.5
6.0003e-006,1.5
6.0007e-006,3.5
6.001e-006,5
6.00105e-006,5
6.00116e-006,5
6.00137e-006,5
6.00179e-006,5
6.00263e-006,5
6.00432e-006,5
6.00769e-006,5
6.011e-006,5
6.0111e-006,4.5
6.0113e-006,3.5
6.0117e-006,1.5
6.012e-006,0
6.01208e-006,0
6.01224e-006,0
6.01256e-006,0
6.0132e-006,0
6.01448e-006,0
6.01704e-006,0
6.02216e-006,0
6.0324e-006,0
6.05288e-006,0
6.09288e-006,0
6.13288e-006,0
6.17288e-006,0
6.21288e-006,0
6.25288e-006,0
6.29288e-006,0
6.33288e-006,0
6.37288e-006,0
6.41288e-006,0
6.45288e-006,0
6.49288e-006,0
6.53288e-006,0
6.57288e-006,0
6.61288e-006,0
6.65288e-006,0
6.69288e-006,0
6.73288e-006,0
6.77288e-006,0
6.81288e-006,0
6.85288e-006,0
6.89288e-006,0
6.93288e-006,0
6.97288e-006,0
7e-006,0
7.0001e-006,0.5
7.0003e-006,1.5
7.0007e-006,3.5
7.001e-006,5
7.00105e-006,5
7.00116e-006,5
7.00137e-006,5
7.00179e-006,5
7.00263e-006,5
7.00432e-006,5
7.00769e-006,5
7.011e-006,5
7.0111e-006,4.5
7.0113e-006,3.5
7.0117e-006,1.5
7.012e-006,0
7.01208e-006,0
7.01224e-006,0
7.01256e-006,0
7.0132e-006,0
7.01448e-006,0
7.01704e-006,0
7.02216e-006,0
7.0324e-006,0
7.05288e-006,0
7.09288e-006,0
7.13288e-006,0
7.17288e-006,0
7.21288e-006,0
7.25288e-006,0
7.29288e-006,0
7.33288e-006,0
7.37288e-006,0
7.41288e-006,0
7.45288e-006,0
7.49288e-006,0
7.53288e-006,0
7.57288e-006,0
7.61288e-006,0
7.65288e-006,0
7.69288e-006,0
7.73288e-006,0
7.77288e-006,0
7.81288e-006,0
7.85288e-006,0
7.89288e-006,0
7.93288e-006,0
7.97288e-006,0
8e-006,0
8.0001e-006,0.5
8.0003e-006,1.5
8.0007e-006,3.5
8.001e-006,5
8.00105e-006,5
8.00116e-006,5
8.00137e-006,5
8.00179e-006,5
8.00263e-006,5
8.00432e-006,5
8.00769e-006,5
8.011e-006,5
8.0111e-006,4.5
8.0113e-006,3.5
8.0117e-006,1.5
8.012e-006,3.96749e-012
8.01208e-006,0
8.01224e-006,0
8.01256e-006,0
8.0132e-006,0
8.01448e-006,0
8.01704e-006,0
8.02216e-006,0
8.0324e-006,0
8.05288e-006,0
8.09288e-006,0
8.13288e-006,0
8.17288e-006,0
8.21288e-006,0
8.25288e-006,0
8.29288e-006,0
8.33288e-006,0
8.37288e-006,0
8.41288e-006,0
8.45288e-006,0
8.49288e-006,0
8.53288e-006,0
8.57288e-006,0
8.61288e-006,0
8.65288e-006,0
8.69288e-006,0
8.73288e-006,0
8.77288e-006,0
8.81288e-006,0
8.85288e-006,0
8.89288e-006,0
8.93288e-006,0
8.97288e-006,0
9e-006,0
9.0001e-006,0.5
9.0003e-006,1.5
9.0007e-006,3.5
9.001e-006,5
9.00105e-006,5
9.00116e-006,5
9.00137e-006,5
9.00179e-006,5
9.00263e-006,5
9.00432e-006,5
9.00769e-006,5
9.011e-006,5
9.0111e-006,4.5
9.0113e-006,3.5
9.0117e-006,1.5
9.012e-006,3.96749e-012
9.01208e-006,0
9.01224e-006,0
9.01256e-006,0
9.0132e-006,0
9.01448e-006,0
9.01704e-006,0
9.02216e-006,0
9.0324e-006,0
9.05288e-006,0
9.09288e-006,0
9.13288e-006,0
9.17288e-006,0
9.21288e-006,0
9.25288e-006,0
9.29288e-006,0
9.33288e-006,0
9.37288e-006,0
9.41288e-006,0
9.45288e-006,0
9.49288e-006,0
9.53288e-006,0
9.57288e-006,0
9.61288e-006,0
9.65288e-006,0
9.69288e-006,0
9.73288e-006,0
9.77288e-006,0
9.81288e-006,0
9.85288e-006,0
9.89288e-006,0
9.93288e-006,0
9.97288e-006,0
1e-005,8.47033e-012
1.00001e-005,0.5
1.00003e-005,1.5
1.00007e-005,3.5
1.0001e-005,5
1.00011e-005,5
1.00012e-005,5
1.00014e-005,5
1.00018e-005,5
1.00026e-005,5
1.00043e-005,5
1.00077e-005,5
1.0011e-005,5
1.00111e-005,4.5
1.00113e-005,3.5
1.00117e-005,1.5
1.0012e-005,3.96749e-012
1.00121e-005,0
1.00122e-005,0
1.00126e-005,0
1.00132e-005,0
1.00145e-005,0
1.0017e-005,0
1.00222e-005,0
1.00324e-005,0
1.00529e-005,0
1.00929e-005,0
1.01329e-005,0
1.01729e-005,0
1.02129e-005,0
1.02529e-005,0
1.02929e-005,0
1.03329e-005,0
1.03729e-005,0
1.04129e-005,0
1.04529e-005,0
1.04929e-005,0
1.05329e-005,0
1.05729e-005,0
1.06129e-005,0
1.06529e-005,0
1.06929e-005,0
1.07329e-005,0
1.07729e-005,0
1.08129e-005,0
1.08529e-005,0
1.08929e-005,0
1.09329e-005,0
1.09729e-005,0
1.1e-005,0
1.10001e-005,0.5
1.10003e-005,1.5
1.10007e-005,3.5
1.1001e-005,5
1.10011e-005,5
1.10012e-005,5
1.10014e-005,5
1.10018e-005,5
1.10026e-005,5
1.10043e-005,5
1.10077e-005,5
1.1011e-005,5
1.10111e-005,4.5
1.10113e-005,3.5
1.10117e-005,1.5
1.1012e-005,3.96749e-012
1.10121e-005,0
1.10122e-005,0
1.10126e-005,0
1.10132e-005,0
1.10145e-005,0
1.1017e-005,0
1.10222e-005,0
1.10324e-005,0
1.10529e-005,0
1.10929e-005,0
1.11329e-005,0
1.11729e-005,0
1.12129e-005,0
1.12529e-005,0
1.12929e-005,0
1.13329e-005,0
1.13729e-005,0
1.14129e-005,0
1.14529e-005,0
1.14929e-005,0
1.15329e-005,0
1.15729e-005,0
1.16129e-005,0
1.16529e-005,0
1.16929e-005,0
1.17329e-005,0
1.17729e-005,0
1.18129e-005,0
1.18529e-005,0
1.18929e-005,0
1.19329e-005,0
1.19729e-005,0
1.2e-005,0
1.20001e-005,0.5
1.20003e-005,1.5
1.20007e-005,3.5
1.2001e-005,5
1.20011e-005,5
1.20012e-005,5
1.20014e-005,5
1.20018e-005,5
1.20026e-005,5
1.20043e-005,5
1.20077e-005,5
1.2011e-005,5
1.20111e-005,4.5
1.20113e-005,3.5
1.20117e-005,1.5
1.2012e-005,3.96749e-012
1.20121e-005,0
1.20122e-005,0
1.20126e-005,0
1.20132e-005,0
1.20145e-005,0
1.2017e-005,0
1.20222e-005,0
1.20324e-005,0
1.20529e-005,0
1.20929e-005,0
1.21329e-005,0
1.21729e-005,0
1.22129e-005,0
1.22529e-005,0
1.22929e-005,0
1.23329e-005,0
1.23729e-005,0
1.24129e-005,0
1.24529e-005,0
1.24929e-005,0
1.25329e-005,0
1.25729e-005,0
1.26129e-005,0
1.26529e-005,0
1.26929e-005,0
1.27329e-005,0
1.27729e-005,0
1.28129e-005,0
1.28529e-005,0
1.28929e-005,0
1.29329e-005,0
1.29729e-005,0
1.3e-005,8.47033e-012
1.30001e-005,0.5
1.30003e-005,1.5
1.30007e-005,3.5
1.3001e-005,5
1.30011e-005,5
1.30012e-005,5
1.30014e-005,5
1.30018e-005,5
1.30026e-005,5
1.30043e-005,5
1.30077e-005,5
1.3011e-005,5
1.30111e-005,4.5
1.30113e-005,3.5
1.30117e-005,1.5
1.3012e-005,3.96749e-012
1.30121e-005,0
1.30122e-005,0
1.30126e-005,0
1.30132e-005,0
1.30145e-005,0
1.3017e-005,0
1.30222e-005,0
1.30324e-005,0
1.30529e-005,0
1.30929e-005,0
1.31329e-005,0
1.31729e-005,0
1.32129e-005,0
1.32529e-005,0
1.32929e-005,0
1.33329e-005,0
1.33729e-005,0
1.34129e-005,0
1.34529e-005,0
1.34929e-005,0
1.35329e-005,0
1.35729e-005,0
1.36129e-005,0
1.36529e-005,0
1.36929e-005,0
1.37329e-005,0
1.37729e-005,0
1.38129e-005,0
1.38529e-005,0
1.38929e-005,0
1.39329e-005,0
1.39729e-005,0
1.4e-005,0
1.40001e-005,0.5
1.40003e-005,1.5
1.40007e-005,3.5
1.4001e-005,5
1.40011e-005,5
1.40012e-005,5
1.40014e-005,5
1.40018e-005,5
1.40026e-005,5
1.40043e-005,5
1.40077e-005,5
1.4011e-005,5
1.40111e-005,4.5
1.40113e-005,3.5
1.40117e-005,1.5
1.4012e-005,3.96749e-012
1.40121e-005,0
1.40122e-005,0
1.40126e-005,0
1.40132e-005,0
1.40145e-005,0
1.4017e-005,0
1.40222e-005,0
1.40324e-005,0
1.40529e-005,0
1.40929e-005,0
1.41329e-005,0
1.41729e-005,0
1.42129e-005,0
1.42529e-005,0
1.42929e-005,0
1.43329e-005,0
1.43729e-005,0
1.44129e-005,0
1.44529e-005,0
1.44929e-005,0
1.45329e-005,0
1.45729e-005,0
1.46129e-005,0
1.46529e-005,0
1.46929e-005,0
1.47329e-005,0
1.47729e-005,0
1.48129e-005,0
1.48529e-005,0
1.48929e-005,0
1.49329e-005,0
1.49729e-005,0
1.5e-005,8.47033e-012
1.50001e-005,0.5
1.50003e-005,1.5
1.50007e-005,3.5
1.5001e-005,5
1.50011e-005,5
1.50012e-005,5
1.50014e-005,5
1.50018e-005,5
1.50026e-005,5
1.50043e-005,5
1.50077e-005,5
1.5011e-005,5
1.50111e-005,4.5
1.50113e-005,3.5
1.50117e-005,1.5
1.5012e-005,3.96749e-012
1.50121e-005,0
1.50122e-005,0
1.50126e-005,0
1.50132e-005,0
1.50145e-005,0
1.5017e-005,0
1.50222e-005,0
1.50324e-005,0
1.50529e-005,0
1.50929e-005,0
1.51329e-005,0
1.51729e-005,0
1.52129e-005,0
1.52529e-005,0
1.52929e-005,0
1.53329e-005,0
1.53729e-005,0
1.54129e-005,0
1.54529e-005,0
1.54929e-005,0
1.55329e-005,0
1.55729e-005,0
1.56129e-005,0
1.56529e-005,0
1.56929e-005,0
1.57329e-005,0
1.57729e-005,0
1.58129e-005,0
1.58529e-005,0
1.58929e-005,0
1.59329e-005,0
1.59729e-005,0
1.6e-005,0
1.60001e-005,0.5
1.60003e-005,1.5
1.60007e-005,3.5
1.6001e-005,5
1.60011e-005,5
1.60012e-005,5
1.60014e-005,5
1.60018e-005,5
1.60026e-005,5
1.60043e-005,5
1.60077e-005,5
1.6011e-005,5
1.60111e-005,4.5
1.60113e-005,3.5
1.60117e-005,1.5
1.6012e-005,3.96749e-012
1.60121e-005,0
1.60122e-005,0
1.60126e-005,0
1.60132e-005,0
1.60145e-005,0
1.6017e-005,0
1.60222e-005,0
1.60324e-005,0
1.60529e-005,0
1.60929e-005,0
1.61329e-005,0
1.61729e-005,0
1.62129e-005,0
1.62529e-005,0
1.62929e-005,0
1.63329e-005,0
1.63729e-005,0
1.64129e-005,0
1.64529e-005,0
1.64929e-005,0
1.65329e-005,0
1.65729e-005,0
1.66129e-005,0
1.66529e-005,0
1.66929e-005,0
1.67329e-005,0
1.67729e-005,0
1.68129e-005,0
1.68529e-005,0
1.68929e-005,0
1.69329e-005,0
1.69729e-005,0
1.7e-005,0
1.70001e-005,0.5
1.70003e-005,1.5
1.70007e-005,3.5
1.7001e-005,5
1.70011e-005,5
1.70012e-005,5
1.70014e-005,5
1.70018e-005,5
1.70026e-005,5
1.70043e-005,5
1.70077e-005,5
1.7011e-005,5
1.70111e-005,4.5
1.70113e-005,3.5
1.70117e-005,1.5
1.7012e-005,3.96749e-012
1.70121e-005,0
1.70122e-005,0
1.70126e-005,0
1.70132e-005,0
1.70145e-005,0
1.7017e-005,0
1.70222e-005,0
1.70324e-005,0
1.70529e-005,0
1.70929e-005,0
1.71329e-005,0
1.71729e-005,0
1.72129e-005,0
1.72529e-005,0
1.72929e-005,0
1.73329e-005,0
1.73729e-005,0
1.74129e-005,0
1.74529e-005,0
1.74929e-005,0
1.75329e-005,0
1.75729e-005,0
1.76129e-005,0
1.76529e-005,0
1.76929e-005,0
1.77329e-005,0
1.77729e-005,0
1.78129e-005,0
1.78529e-005,0
1.78929e-005,0
1.79329e-005,0
1.79729e-005,0
1.8e-005,0
1.80001e-005,0.5
1.80003e-005,1.5
1.80007e-005,3.5
1.8001e-005,5
1.80011e-005,5
1.80012e-005,5
1.80014e-005,5
1.80018e-005,5
1.80026e-005,5
1.80043e-005,5
1.80077e-005,5
1.8011e-005,5
1.80111e-005,4.5
1.80113e-005,3.5
1.80117e-005,1.5
1.8012e-005,3.96749e-012
1.80121e-005,0
1.80122e-005,0
1.80126e-005,0
1.80132e-005,0
1.80145e-005,0
1.8017e-005,0
1.80222e-005,0
1.80324e-005,0
1.80529e-005,0
1.80929e-005,0
1.81329e-005,0
1.81729e-005,0
1.82129e-005,0
1.82529e-005,0
1.82929e-005,0
1.83329e-005,0
1.83729e-005,0
1.84129e-005,0
1.84529e-005,0
1.84929e-005,0
1.85329e-005,0
1.85729e-005,0
1.86129e-005,0
1.86529e-005,0
1.86929e-005,0
1.87329e-005,0
1.87729e-005,0
1.88129e-005,0
1.88529e-005,0
1.88929e-005,0
1.89329e-005,0
1.89729e-005,0
1.9e-005,1.69407e-011
1.90001e-005,0.5
1.90003e-005,1.5
1.90007e-005,3.5
1.9001e-005,5
1.90011e-005,5
1.90012e-005,5
1.90014e-005,5
1.90018e-005,5
1.90026e-005,5
1.90043e-005,5
1.90077e-005,5
1.9011e-005,5
1.90111e-005,4.5
1.90113e-005,3.5
1.90117e-005,1.5
1.9012e-005,3.96749e-012
1.90121e-005,0
1.90122e-005,0
1.90126e-005,0
1.90132e-005,0
1.90145e-005,0
1.9017e-005,0
1.90222e-005,0
1.90324e-005,0
1.90529e-005,0
1.90929e-005,0
1.91329e-005,0
1.91729e-005,0
1.92129e-005,0
1.92529e-005,0
1.92929e-005,0
1.93329e-005,0
1.93729e-005,0
1.94129e-005,0
1.94529e-005,0
1.94929e-005,0
1.95329e-005,0
1.95729e-005,0
1.96129e-005,0
1.96529e-005,0
1.96929e-005,0
1.97329e-005,0
1.97729e-005,0
1.98129e-005,0
1.98529e-005,0
1.98929e-005,0
1.99329e-005,0
1.99729e-005,0
2e-005,0
2.00001e-005,0.5
2.00003e-005,1.5
2.00007e-005,3.5
2.0001e-005,5
